mart,cube,field_type,check,dataset_name,dim,attr_hier,lvl_memb,all_memb,param_name
CDI,CDI,columns,default,Vital Stats CCD Dashboard,Measures,VS Death Count,NA,NA,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - ID,Unique ID,Unique ID,NA,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - Cause of Death - Underlying,UCD Code Hierarchy,UCD 5Char Code,ALLMEMBERS,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - Cause of Death - Contributing,CCD 4Char Code,CCD 4Char Code,NA,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - Date - Death,Date,Date,NA,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,CDI - Gender,Sex,Sex,NA,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - Age at Death,Age Year,Age Year,NA,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - Age at Death,Age Group 07,Age Group 07,NA,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - Age at Death,Age Group Population,Age Group Population,NA,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - Place of Injury Type,Place of Injury Type,Place of Injury Type,NA,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - Geo - Residential Location Region,VS Residential Location Health Authorities,VS Residential Location LHA,ALLMEMBERS,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - Geo - Death Location Region,VS Death Location Health Authorities,VS Death Location LHA,ALLMEMBERS,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - Geo - Residential Location Census - 2011,VS Residential Location Census - 2011,VS Residential Dissemination Area,ALLMEMBERS,NA
CDI,CDI,rows,default,Vital Stats CCD Dashboard,VS - Geo - Death Location Census - 2011,VS Death Location Census - 2011,VS Death Location Dissemination Area,ALLMEMBERS,NA
CDI,CDI,filter_d,none,Vital Stats CCD Dashboard,VS - Cause of Death - Underlying,UCD 3Char Code,UCD 3Char Code,NA,ucd_3_char_code
CDI,CDI,filter_d,none,Vital Stats CCD Dashboard,VS - Cause of Death - Contributing,CCD 3Char Code,CCD 3Char Code,NA,ccd_3_char_code
CDI,CDI,filter_d,none,Vital Stats CCD Dashboard,VS - Geo - Residential Location Region,VS Residential Location HA,VS Residential Location HA,NA,residential_location_ha
CDI,CDI,filter_d,none,Vital Stats CCD Dashboard,VS - Geo - Death Location Region,VS Death Location HA,VS Death Location HA,NA,death_location_ha
CDI,CDI,filter_r,none,Vital Stats CCD Dashboard,VS - Date - Death,Date,Date,NA,query_date
Respiratory,RespiratoryDM,columns,default,LIS Tests,Measures,LIS Test Count,NA,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,Patient - Patient Master,Patient Master Key,Patient Master Key,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - IDs,Test ID,Test ID,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - IDs,Accession Number,Accession Number,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - IDs,Container ID,Container ID,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Episode IDs,Episode ID,Episode ID,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Patient,Gender,Gender,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Patient,Species,Species,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Infection Group,Infection Group,Infection Group,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Date - Collection,Date,Date,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Date - Receive,Date,Date,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Date - Result,Date,Date,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Age at Collection,Age Years,Age Years,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Test,Tests,Test Code,ALLMEMBERS,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Order Item,Orders,Order Code,ALLMEMBERS,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Test,Source System ID,Source System ID,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Result - Test Outcome,Test Outcome,Test Outcome,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Result - Organism,Organisms,Organism Level 4,ALLMEMBERS,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Geo - Patient Region,LIS Patient Health Authorities,LIS Patient LHA,ALLMEMBERS,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Geo - Patient Address,LIS Patient Addresses,LIS Patient Postal Code,ALLMEMBERS,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Geo - Ordering Provider Region ATOT,LIS Ordering Provider Health Authorities,LIS Ordering Provider LHA,ALLMEMBERS,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Geo - Ordering Provider Address ATOT,LIS Ordering Provider Addresses,LIS Ordering Provider Postal Code,ALLMEMBERS,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Lab Location - Result,Lab Name,Lab Name,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Flag - Proficiency Test,Proficiency Test,Proficiency Test,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Flag - Test Performed,Test Performed,Test Performed,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Flag - Test Valid Status,Valid Test,Valid Test,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Tests,LIS - Result Attributes,Result Full Description,Result Full Description,NA,NA
Respiratory,RespiratoryDM,filter_d,none,LIS Tests,LIS - Infection Group,Infection Group,Infection Group,NA,infection_group
Respiratory,RespiratoryDM,filter_d,none,LIS Tests,LIS - Geo - Patient Region,LIS Patient HA,LIS Patient HA,NA,surveillance_region_ha
Respiratory,RespiratoryDM,filter_d,none,LIS Tests,LIS - Geo - Ordering Provider Region ATOT,LIS Ordering Provider HA,LIS Ordering Provider HA,NA,ordering_provider_ha
Respiratory,RespiratoryDM,filter_d,none,LIS Tests,LIS - Rule Engine - Episode Status,Episode Status,Episode Status,NA,episode_status
Respiratory,RespiratoryDM,filter_r,none,LIS Tests,LIS - Date - Collection,Date,Date,NA,query_date
Respiratory,RespiratoryDM,columns,default,LIS Episodes,Measures,LIS Episode Count,NA,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Episodes,Patient - Patient Master,Patient Master Key,Patient Master Key,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Episodes,LIS - Episode IDs,Episode ID,Episode ID,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Episodes,LIS - Infection Group,Infection Group,Infection Group,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Episodes,LIS - Date - Episode Start,Flu Season,Date,ALLMEMBERS,NA
Respiratory,RespiratoryDM,rows,default,LIS Episodes,LIS - Episode Attributes,Episode Testing Pattern,Episode Testing Pattern,NA,NA
Respiratory,RespiratoryDM,rows,default,LIS Episodes,LIS - Rule Engine - Episode Status,Rule Engine - Episode Status,Rule Detail Description,ALLMEMBERS,NA
Respiratory,RespiratoryDM,filter_d,none,LIS Episodes,LIS - Infection Group,Infection Group,Infection Group,NA,infection_group
Respiratory,RespiratoryDM,filter_d,none,LIS Episodes,LIS - Geo - Patient Region,LIS Patient HA,LIS Patient HA,NA,surveillance_region_ha
Respiratory,RespiratoryDM,filter_d,none,LIS Episodes,LIS - Geo - Ordering Provider Region ATOT,LIS Ordering Provider HA,LIS Ordering Provider HA,NA,ordering_provider_ha
Respiratory,RespiratoryDM,filter_d,none,LIS Episodes,LIS - Rule Engine - Episode Status,Episode Status,Episode Status,NA,episode_status
Respiratory,RespiratoryDM,filter_r,none,LIS Episodes,LIS - Date - Episode Start,Date,Date,NA,query_date
STIBBI,StibbiDM,columns,default,Case,Measures,Case Count,NA,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - IDs,Case Combined ID,Case Combined ID,NA,NA
STIBBI,StibbiDM,rows,default,Case,Patient - Patient Master,Patient Master Key,Patient Master Key,NA,NA
STIBBI,StibbiDM,rows,default,Case,Patient - Patient Master,Gender,Gender,NA,NA
STIBBI,StibbiDM,rows,default,Case,Patient - Patient Master,Birth Year,Birth Year,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Disease,Case Disease,Case Disease,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Date - Earliest,Date,Date,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Date - Earliest From,Case Earliest Date From,Case Earliest Date From,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Age at Earliest Date,Age Years,Age Years,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Age at Earliest Date,Age Group 10,Age Group 10,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Geo - Surveillance Region,Case Surveillance Region Health Authorities,Case Surveillance Region LHA,ALLMEMBERS,NA
STIBBI,StibbiDM,rows,default,Case,Case - Geo - Surveillance Region Based On,Case Surveillance Region Based On,Case Surveillance Region Based On,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Geo - Testing Region,Case Testing Region LHA,Case Testing Region LHA,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Geo - Testing Region Based On,Case Testing Region Based On,Case Testing Region Based On,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Sources,Case Source,Case Source,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Status,Case Status,Case Status,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Status - LIS,Case Status LIS,Case Status LIS,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Status - PHS,Case Status PHS,Case Status PHS,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Status Confirmed By,Case Status Confirmed By,Case Status Confirmed By,NA,NA
STIBBI,StibbiDM,rows,default,Case,Case - Status Determined By,Case Status Determined By,Case Status Determined By,NA,NA
STIBBI,StibbiDM,rows,hvc,Case,Case - HCV - Flag Acute,Yes No,Yes No,NA,NA
STIBBI,StibbiDM,rows,hvc,Case,Case - HCV - Flag Acute From,HCV Acute Flag From,HCV Acute Flag From,NA,NA
STIBBI,StibbiDM,rows,hvc,Case,Case - HCV - Flag Reinfection,Yes No,Yes No,NA,NA
STIBBI,StibbiDM,rows,hvc,Case,Case - HCV - Interval - Seroconversion Days,HCV Days Since Prior Negative,HCV Days Since Prior Negative,NA,NA
STIBBI,StibbiDM,filter_d,none,Case,Case - Disease,Case Disease,Case Disease,NA,disease
STIBBI,StibbiDM,filter_d,none,Case,Case - Geo - Surveillance Region,Case Surveillance Region HA,Case Surveillance Region HA,NA,surveillance_region_ha
STIBBI,StibbiDM,filter_d,none,Case,Case - Geo - Testing Region,Case Testing Region HA,Case Testing Region HA,NA,testing_region_ha
STIBBI,StibbiDM,filter_d,none,Case,Case - Sources,Case Source,Case Source,NA,case_source
STIBBI,StibbiDM,filter_d,none,Case,Case - Status,Case Status,Case Status,NA,case_status
STIBBI,StibbiDM,filter_r,none,Case,Case - Date - Earliest,Date,Date,NA,query_date
STIBBI,StibbiDM,columns,default,Investigation,Measures,PHS Disease Event Count,NA,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - IDs,Disease Event ID,Disease Event ID,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,Case - IDs,Case Combined ID,Case Combined ID,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,Patient - Patient Master,Patient Master Key,Patient Master Key,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Client,Client ID,Client ID,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Classification,PHS Classification,PHS Classification,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Date - Surveillance,Date,Date,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Date - Surveillance Reported,Date,Date,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Disease,PHS Disease,PHS Disease,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Stage of Infection - Earliest,Earliest Stage of Infection,Earliest Stage of Infection,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Surveillance Condition,Surveillance Condition,Surveillance Condition,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Etiologic Agent,Etiologic Agent Level 1,Etiologic Agent Level 1,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Etiologic Agent,Etiologic Agent Level 2,Etiologic Agent Level 2,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Geo - Surveillance Region,PHS Surveillance Region Health Authorities,PHS Surveillance Region LHA,ALLMEMBERS,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Geo - Surveillance Region Based On,Surveillance Region Based On,Surveillance Region Based On,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Geo - Client Address ATOC Region,PHS Client Address ATOC Health Authorities,PHS Client Address ATOC LHA,ALLMEMBERS,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Geo - Client Address ATOC,PHS Client Addresses ATOC,PHS Client Address ATOC Postal Code,ALLMEMBERS,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Geo - Earliest Positive Ordering Provider Region,PHS Earliest Positive Ordering Provider Health Authorities,PHS Earliest Positive Ordering Provider LHA,ALLMEMBERS,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Geo - Earliest Positive Ordering Provider Address,PHS Earliest Positive Ordering Provider Address,PHS Earliest Positive Ordering Provider Postal Code,ALLMEMBERS,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Earliest Positive Ordering Provider,Earliest Positive Ordering Provider Key,Earliest Positive Ordering Provider Key,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Source System,Source System,Source System,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Gender Of Partners,Gender Of Partners,Gender Of Partners,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Sexual Orientation,Sexual Orientation,Sexual Orientation,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Age at Surveillance Date,Age Group 10,Age Group 10,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Age at Surveillance Date,Age Years,Age Years,NA,NA
STIBBI,StibbiDM,rows,default,Investigation,PHS - Stage of Infection,Stage of Infection,Stage of Infection,NA,NA
STIBBI,StibbiDM,rows,indigenous_id,Investigation,PHS - Indigenous First Nations Status,First Nations Status,First Nations Status,NA,NA
STIBBI,StibbiDM,rows,indigenous_id,Investigation,PHS - Indigenous Identity,Indigenous Identity,Indigenous Identity,NA,NA
STIBBI,StibbiDM,rows,indigenous_id,Investigation,PHS - Indigenous On Reserve Administered By,On Reserve Administered By,On Reserve Administered By,NA,NA
STIBBI,StibbiDM,rows,indigenous_id,Investigation,PHS - Indigenous Organization,Indigenous Organization,Indigenous Organization,NA,NA
STIBBI,StibbiDM,rows,indigenous_id,Investigation,PHS - Indigenous Self Identify,Indigenous Self Identify,Indigenous Self Identify,NA,NA
STIBBI,StibbiDM,rows,indigenous_id,Investigation,PHS - HAISYS On Reserve,HAISYS On Reserve,HAISYS On Reserve,NA,NA
STIBBI,StibbiDM,rows,syphilis,Investigation,PHS - STI Stage of Infection Category,Stage of Infection Category,Stage of Infection Category,NA,NA
STIBBI,StibbiDM,rows,syphilis,Investigation,PHS - STIIS Risk Category,STIIS Risk Category,STIIS Risk Category,NA,NA
STIBBI,StibbiDM,rows,chlamydia,Investigation,PHS - STIIS Risk Category,STIIS Risk Category,STIIS Risk Category,NA,NA
STIBBI,StibbiDM,rows,gonorrhea,Investigation,PHS - STIIS Risk Category,STIIS Risk Category,STIIS Risk Category,NA,NA
STIBBI,StibbiDM,rows,lymphogranuloma,Investigation,PHS - STIIS Risk Category,STIIS Risk Category,STIIS Risk Category,NA,NA
STIBBI,StibbiDM,rows,syphilis,Investigation,PHS - STI Body Site Category,STI Body Site Category,STI Body Site Category,NA,NA
STIBBI,StibbiDM,rows,chlamydia,Investigation,PHS - STI Body Site Category,STI Body Site Category,STI Body Site Category,NA,NA
STIBBI,StibbiDM,rows,gonorrhea,Investigation,PHS - STI Body Site Category,STI Body Site Category,STI Body Site Category,NA,NA
STIBBI,StibbiDM,rows,lymphogranuloma,Investigation,PHS - STI Body Site Category,STI Body Site Category,STI Body Site Category,NA,NA
STIBBI,StibbiDM,rows,syphilis,Investigation,PHS - Flag - Pregnant at Time of Case,Pregnant at Time of Case Flag,Pregnant at Time of Case Flag,NA,NA
STIBBI,StibbiDM,rows,chlamydia,Investigation,PHS - Flag - Pregnant at Time of Case,Pregnant at Time of Case Flag,Pregnant at Time of Case Flag,NA,NA
STIBBI,StibbiDM,rows,gonorrhea,Investigation,PHS - Flag - Pregnant at Time of Case,Pregnant at Time of Case Flag,Pregnant at Time of Case Flag,NA,NA
STIBBI,StibbiDM,rows,lymphogranuloma,Investigation,PHS - Flag - Pregnant at Time of Case,Pregnant at Time of Case Flag,Pregnant at Time of Case Flag,NA,NA
STIBBI,StibbiDM,rows,hiv,Investigation,PHS - HIV - Client Stage of Infection,HIV Client Stage of Infection,HIV Client Stage of Infection,NA,NA
STIBBI,StibbiDM,rows,aids,Investigation,PHS - HIV - Client Stage of Infection,HIV Client Stage of Infection,HIV Client Stage of Infection,NA,NA
STIBBI,StibbiDM,rows,hiv,Investigation,PHS - HIV - Client Stage of Infection,HIV Stage of Infection Based On,HIV Stage of Infection Based On,NA,NA
STIBBI,StibbiDM,rows,aids,Investigation,PHS - HIV - Client Stage of Infection,HIV Stage of Infection Based On,HIV Stage of Infection Based On,NA,NA
STIBBI,StibbiDM,rows,hiv,Investigation,PHS - HIV - Diagnosis Test Type,HIV Diagnosis Test Type,HIV Diagnosis Test Type,NA,NA
STIBBI,StibbiDM,rows,aids,Investigation,PHS - HIV - Diagnosis Test Type,HIV Diagnosis Test Type,HIV Diagnosis Test Type,NA,NA
STIBBI,StibbiDM,rows,hiv,Investigation,PHS - HIV - Exposure Category,HAISYS Exposure Category,HAISYS Exposure Category,NA,NA
STIBBI,StibbiDM,rows,aids,Investigation,PHS - HIV - Exposure Category,HAISYS Exposure Category,HAISYS Exposure Category,NA,NA
STIBBI,StibbiDM,rows,hiv,Investigation,PHS - HIV - Flag - Non Nominal,HIV Non Nominal Flag,HIV Non Nominal Flag,NA,NA
STIBBI,StibbiDM,rows,aids,Investigation,PHS - HIV - Flag - Non Nominal,HIV Non Nominal Flag,HIV Non Nominal Flag,NA,NA
STIBBI,StibbiDM,rows,hiv,Investigation,PHS - HIV - First AIDS Defining Illness,First AIDS Defining Illnesses,First AIDS Defining Illness,ALLMEMBERS,NA
STIBBI,StibbiDM,rows,aids,Investigation,PHS - HIV - First AIDS Defining Illness,First AIDS Defining Illnesses,First AIDS Defining Illness,ALLMEMBERS,NA
STIBBI,StibbiDM,rows,hiv,Investigation,PHS - HIV - Reporting Category,HIV Reporting Category,HIV Reporting Category,NA,NA
STIBBI,StibbiDM,rows,aids,Investigation,PHS - HIV - Reporting Category,HIV Reporting Category,HIV Reporting Category,NA,NA
STIBBI,StibbiDM,rows,hiv,Investigation,PHS - HIV - Source of Diagnosis,HIV Source of Diagnosis,HIV Source of Diagnosis,NA,NA
STIBBI,StibbiDM,rows,aids,Investigation,PHS - HIV - Source of Diagnosis,HIV Source of Diagnosis,HIV Source of Diagnosis,NA,NA
STIBBI,StibbiDM,rows,hiv,Investigation,PHS - HIV - When AIDS Diagnosed,When AIDS Diagnosed,When AIDS Diagnosed,NA,NA
STIBBI,StibbiDM,rows,aids,Investigation,PHS - HIV - When AIDS Diagnosed,When AIDS Diagnosed,When AIDS Diagnosed,NA,NA
STIBBI,StibbiDM,rows,hiv,Investigation,PHS - HIV - Flag - Prenatal Screen,HIV Prenatal Screen Flag,HIV Prenatal Screen Flag,NA,NA
STIBBI,StibbiDM,rows,aids,Investigation,PHS - HIV - Flag - Prenatal Screen,HIV Prenatal Screen Flag,HIV Prenatal Screen Flag,NA,NA
STIBBI,StibbiDM,dim_prop,default,Investigation,PHS - IDs,Disease Event ID,Investigation ID,NA,NA
STIBBI,StibbiDM,dim_prop,syphilis,Investigation,PHS - IDs,Disease Event ID,EMR Form ID,NA,NA
STIBBI,StibbiDM,dim_prop,chlamydia,Investigation,PHS - IDs,Disease Event ID,EMR Form ID,NA,NA
STIBBI,StibbiDM,dim_prop,gonorrhea,Investigation,PHS - IDs,Disease Event ID,EMR Form ID,NA,NA
STIBBI,StibbiDM,dim_prop,lymphogranuloma,Investigation,PHS - IDs,Disease Event ID,EMR Form ID,NA,NA
STIBBI,StibbiDM,dim_prop,default,Investigation,PHS - IDs,Disease Event ID,Date - Investigation Created,NA,NA
STIBBI,StibbiDM,dim_prop,default,Investigation,PHS - IDs,Disease Event ID,Date - Investigation Updated,NA,NA
STIBBI,StibbiDM,dim_prop,default,Investigation,PHS - Earliest Positive Ordering Provider,Earliest Positive Ordering Provider Key,Earliest Positive Ordering Provider Code,NA,NA
STIBBI,StibbiDM,dim_prop,default,Investigation,PHS - Earliest Positive Ordering Provider,Earliest Positive Ordering Provider Key,Earliest Positive Ordering Provider Clinic Name,NA,NA
STIBBI,StibbiDM,dim_prop,default,Investigation,PHS - Earliest Positive Ordering Provider,Earliest Positive Ordering Provider Key,Earliest Positive Ordering Provider Clinic Code,NA,NA
STIBBI,StibbiDM,dim_prop,default,Investigation,PHS - Earliest Positive Ordering Provider,Earliest Positive Ordering Provider Key,Earliest Positive Ordering Provider Address Flag,NA,NA
STIBBI,StibbiDM,dim_prop,default,Investigation,PHS - Earliest Positive Ordering Provider,Earliest Positive Ordering Provider Key,Earliest Positive Ordering Provider Name,NA,NA
STIBBI,StibbiDM,dim_prop,syphilis,Investigation,PHS - Earliest Positive Ordering Provider,Earliest Positive Ordering Provider Key,Earliest Positive Ordering Provider EMR Form Tab,NA,NA
STIBBI,StibbiDM,dim_prop,chlamydia,Investigation,PHS - Earliest Positive Ordering Provider,Earliest Positive Ordering Provider Key,Earliest Positive Ordering Provider EMR Form Tab,NA,NA
STIBBI,StibbiDM,dim_prop,gonorrhea,Investigation,PHS - Earliest Positive Ordering Provider,Earliest Positive Ordering Provider Key,Earliest Positive Ordering Provider EMR Form Tab,NA,NA
STIBBI,StibbiDM,dim_prop,lymphogranuloma,Investigation,PHS - Earliest Positive Ordering Provider,Earliest Positive Ordering Provider Key,Earliest Positive Ordering Provider EMR Form Tab,NA,NA
STIBBI,StibbiDM,filter_d,none,Investigation,PHS - Disease,PHS Disease,PHS Disease,NA,disease
STIBBI,StibbiDM,filter_d,none,Investigation,PHS - Geo - Surveillance Region,PHS Surveillance Region HA,PHS Surveillance Region HA,NA,surveillance_region_ha
STIBBI,StibbiDM,filter_r,none,Investigation,PHS - Date - Surveillance,Date,Date,NA,query_date
STIBBI,StibbiDM,columns,default,Client,Measures,PHS Client Count,NA,NA,NA
STIBBI,StibbiDM,rows,default,Client,Patient - Patient Master,Patient Master Key,Patient Master Key,NA,NA
STIBBI,StibbiDM,rows,default,Client,Patient - Patient Master,Birth Year,Birth Year,NA,NA
STIBBI,StibbiDM,rows,default,Client,PHS - Client,Client ID,Client ID,NA,NA
STIBBI,StibbiDM,rows,default,Client,PHS - Client,Ethnicity,Ethnicity,NA,NA
STIBBI,StibbiDM,rows,default,Client,PHS - Client,Gender,Gender,NA,NA
STIBBI,StibbiDM,rows,default,Client,PHS - Client,Gender Identity,Gender Identity,NA,NA
STIBBI,StibbiDM,rows,default,Client,PHS - Client,Other Ethnicity,Other Ethnicity,NA,NA
STIBBI,StibbiDM,rows,hiv,Client,PHS - Client,HAISYS Chart Number,HAISYS Chart Number,NA,NA
STIBBI,StibbiDM,rows,aids,Client,PHS - Client,HAISYS Chart Number,HAISYS Chart Number,NA,NA
STIBBI,StibbiDM,rows,hiv,Client,PHS - Client,Haisys STI ID,Haisys STI ID,NA,NA
STIBBI,StibbiDM,rows,aids,Client,PHS - Client,Haisys STI ID,Haisys STI ID,NA,NA
STIBBI,StibbiDM,rows,syphilis,Client,PHS - Client,STIIS Client Number,STIIS Client Number,NA,NA
STIBBI,StibbiDM,rows,chlamydia,Client,PHS - Client,STIIS Client Number,STIIS Client Number,NA,NA
STIBBI,StibbiDM,rows,gonorrhea,Client,PHS - Client,STIIS Client Number,STIIS Client Number,NA,NA
